model,asset,window,alpha,n,hit_rate,var_avg,es_avg
AWHS,BTC,500,0.01,2674,0.010845175766641735,-0.08670120890502678,-0.11537537240418624
AWHS,BTC,500,0.025,2674,0.02318623784592371,-0.06514134747246716,-0.09084927288814049
AWHS,ETH,500,0.01,2674,0.013836948391922213,-0.1192771240977556,-0.1564505113414423
AWHS,ETH,500,0.025,2674,0.025430067314884067,-0.08574357857360818,-0.12269097831647831
CAViaR-AS,BTC,500,0.01,2674,0.010845175766641735,-0.08515540117191432,-0.11022376572796613
CAViaR-AS,BTC,500,0.025,2674,0.02617801047120419,-0.06556230819267059,-0.08916430766000523
CAViaR-AS,ETH,500,0.01,2674,0.011967090501121914,-0.12031638757493283,-0.15427957853238264
CAViaR-AS,ETH,500,0.025,2674,0.027673896783844427,-0.08380388137000717,-0.11832490920074257
CAViaR-SAV,BTC,500,0.01,2674,0.010845175766641735,-0.08601238582363964,-0.11161639561729023
CAViaR-SAV,BTC,500,0.025,2674,0.02580403889304413,-0.0647963029644342,-0.09004961769647807
CAViaR-SAV,ETH,500,0.01,2674,0.014584891548242334,-0.11765102118999844,-0.1545487791184982
CAViaR-SAV,ETH,500,0.025,2674,0.02580403889304413,-0.0856495735210887,-0.12224441036957975
CAViaR-X-AS,BTC,500,0.01,2674,0.011219147344801795,-0.08456763656480168,-0.10885675576229546
CAViaR-X-AS,BTC,500,0.025,2674,0.02468212415856395,-0.06584548650149245,-0.08880844115573565
CAViaR-X-AS,ETH,500,0.01,2674,0.011967090501121914,-0.11815323258706012,-0.15295217029430921
CAViaR-X-AS,ETH,500,0.025,2674,0.02804786836200449,-0.0833556571477276,-0.11818429755696579
EGARCH-t,BTC,500,0.01,2674,0.008601346297681375,-0.09831332544057376,-0.15248298319410775
EGARCH-t,BTC,500,0.025,2674,0.02281226626776365,-0.06894291988226152,-0.10945895109963595
EGARCH-t,ETH,500,0.01,2674,0.010471204188481676,-0.12014303018438278,-0.1773002945018228
EGARCH-t,ETH,500,0.025,2674,0.026551982049364247,-0.0866456968635689,-0.13103774440459529
EWMA,BTC,500,0.01,2674,0.02019446522064323,-0.06983033497282529,-0.08000213719447268
EWMA,BTC,500,0.025,2674,0.02916978309648467,-0.05883253450713391,-0.07017417897877339
EWMA,ETH,500,0.01,2674,0.02393418100224383,-0.09189903921654811,-0.10528546864773895
EWMA,ETH,500,0.025,2674,0.034031413612565446,-0.07742556867275571,-0.09235154934412085
FHS,BTC,500,0.01,2674,0.008601346297681375,-0.0894048984189648,-0.1175206384965381
FHS,BTC,500,0.025,2674,0.02393418100224383,-0.06518111134003508,-0.09114910719301288
FHS,ETH,500,0.01,2674,0.010471204188481676,-0.12096805218003463,-0.15515311255949368
FHS,ETH,500,0.025,2674,0.02505609573672401,-0.08578046401175711,-0.12036014625627428
GARCH-EVT,BTC,500,0.01,2674,0.013089005235602094,-0.08921916148488325,-0.12939524079109782
GARCH-EVT,BTC,500,0.025,2674,0.02468212415856395,-0.06445591336203024,-0.09653421434449018
GARCH-EVT,ETH,500,0.01,2674,0.009349289454001496,-0.11647743126976205,-0.1547384524502023
GARCH-EVT,ETH,500,0.025,2674,0.025430067314884067,-0.08607999454692715,-0.12119729165373555
GARCH-X,BTC,500,0.01,2674,0.0074794315632011965,-0.10614538743259623,-0.15708734531695878
GARCH-X,BTC,500,0.025,2674,0.01907255048616305,-0.07627182972326749,-0.1158844856129467
GARCH-X,ETH,500,0.01,2674,0.007853403141361256,-0.12018038360072618,-0.174760100223754
GARCH-X,ETH,500,0.025,2674,0.02580403889304413,-0.08726200121658931,-0.130316527931778
GARCH-t,BTC,500,0.01,2674,0.011219147344801795,-0.08757881921183652,-0.1339882466327376
GARCH-t,BTC,500,0.025,2674,0.02617801047120419,-0.06177941664834631,-0.09692408614552231
GARCH-t,ETH,500,0.01,2674,0.009723261032161555,-0.11369061482897772,-0.16845913668551962
GARCH-t,ETH,500,0.025,2674,0.02804786836200449,-0.08162433266909751,-0.12418390032575484
GJR-GARCH-t,BTC,500,0.01,2674,0.010845175766641735,-0.0876029026967247,-0.13335619240327423
GJR-GARCH-t,BTC,500,0.025,2674,0.024308152580403888,-0.061970841528449123,-0.09675048299670724
GJR-GARCH-t,ETH,500,0.01,2674,0.008975317875841436,-0.1142081514391599,-0.1687170458719147
GJR-GARCH-t,ETH,500,0.025,2674,0.025430067314884067,-0.08216813582855148,-0.1246107187484606
HAR-RV,BTC,500,0.01,2674,0.015706806282722512,-0.07367986926668173,-0.08533020215445535
HAR-RV,BTC,500,0.025,2674,0.026551982049364247,-0.06155904152603183,-0.0742200298363992
HAR-RV,ETH,500,0.01,2674,0.01944652206432311,-0.0937382847405131,-0.10853197592716174
HAR-RV,ETH,500,0.025,2674,0.03029169783096485,-0.07833289845086354,-0.09441977555086198
HARQ,BTC,500,0.01,2674,0.02318623784592371,-0.07107548855750159,-0.08231532957448294
HARQ,BTC,500,0.025,2674,0.035153328347045626,-0.0593823886133235,-0.0715968204226505
HARQ,ETH,500,0.01,2674,0.02318623784592371,-0.091307826867727,-0.10571825160524782
HARQ,ETH,500,0.025,2674,0.036275243081525806,-0.07630170596869787,-0.09197170877367021
HS,BTC,500,0.01,2674,0.009723261032161555,-0.09048912661240421,-0.12181873879448363
HS,BTC,500,0.025,2674,0.02318623784592371,-0.06670069446903713,-0.09395217293467606
HS,ETH,500,0.01,2674,0.011593118922961856,-0.1268864053747181,-0.16604534429750026
HS,ETH,500,0.025,2674,0.025430067314884067,-0.08786902886113314,-0.127066484408775
Jump-Diffusion,BTC,500,0.01,2674,0.011593118922961856,-0.08507384577621811,-0.11989146387861087
Jump-Diffusion,BTC,500,0.025,2674,0.02393418100224383,-0.06663831108134824,-0.09258787921771355
Jump-Diffusion,ETH,500,0.01,2674,0.013462976813762155,-0.11557890193197631,-0.1656421036150002
Jump-Diffusion,ETH,500,0.025,2674,0.02356020942408377,-0.08945913708927707,-0.12649667583675756
LSTM-Vol,BTC,500,0.01,2674,0.011967090501121914,-0.08538465620652776,-0.12661104915675783
LSTM-Vol,BTC,500,0.025,2674,0.02916978309648467,-0.06123496443189962,-0.09327350944548982
LSTM-Vol,ETH,500,0.01,2674,0.01720269259536275,-0.105167387478404,-0.1515635327799807
LSTM-Vol,ETH,500,0.025,2674,0.034779356768885564,-0.07675938395598669,-0.11364458301334637
MS-GARCH,BTC,500,0.01,2674,0.010471204188481676,-0.08515420599339724,-0.10708476608429161
MS-GARCH,BTC,500,0.025,2674,0.02281226626776365,-0.065319277367971,-0.08697714799008983
MS-GARCH,ETH,500,0.01,2674,0.011219147344801795,-0.10974566640569228,-0.1391254347433794
MS-GARCH,ETH,500,0.025,2674,0.02356020942408377,-0.08439988231979778,-0.11255818315690701
RF-QR,BTC,500,0.01,2674,0.010097232610321616,-0.08692335849281031,-0.10753944773220042
RF-QR,BTC,500,0.025,2674,0.02617801047120419,-0.06493492934267267,-0.08695177220693032
RF-QR,ETH,500,0.01,2674,0.012715033657442034,-0.12048759126267303,-0.1458973019074959
RF-QR,ETH,500,0.025,2674,0.02804786836200449,-0.08636128501774663,-0.11745174634378361
Realized-GARCH,BTC,500,0.01,2674,0.010097232610321616,-0.08565650547962779,-0.12641303212481722
Realized-GARCH,BTC,500,0.025,2674,0.027673896783844427,-0.061617692376407476,-0.09340208532897232
Realized-GARCH,ETH,500,0.01,2674,0.011967090501121914,-0.11040895069021578,-0.16024394057393074
Realized-GARCH,ETH,500,0.025,2674,0.029543754674644727,-0.0802621106171402,-0.11963462629838349
Realized-SV,BTC,500,0.01,2674,0.010845175766641735,-0.08747771381229076,-0.12164876748609976
Realized-SV,BTC,500,0.025,2674,0.02468212415856395,-0.0644086432822048,-0.09304462663641223
Realized-SV,ETH,500,0.01,2674,0.010471204188481676,-0.11571791140275162,-0.15586541013805214
Realized-SV,ETH,500,0.025,2674,0.02468212415856395,-0.0854243500518706,-0.12119157352045813
