date,asset,alpha,level,model
2019-05-16,BTC,0.025,0.025,HS+ACI
2019-05-18,BTC,0.01,0.01001,HS+ACI
2019-05-21,BTC,0.025,0.02515625,HS+ACI
2019-05-23,BTC,0.01,0.010034999999999999,HS+ACI
2019-05-26,BTC,0.025,0.0253125,HS+ACI
2019-05-28,BTC,0.01,0.010059999999999998,HS+ACI
2019-05-31,BTC,0.025,0.025468750000000002,HS+ACI
2019-06-02,BTC,0.01,0.010084999999999997,HS+ACI
2019-06-05,BTC,0.025,0.025625000000000002,HS+ACI
2019-06-07,BTC,0.01,0.010109999999999996,HS+ACI
2019-06-10,BTC,0.025,0.025781250000000002,HS+ACI
2019-06-12,BTC,0.01,0.010134999999999995,HS+ACI
2019-06-15,BTC,0.025,0.025937500000000002,HS+ACI
2019-06-17,BTC,0.01,0.010159999999999994,HS+ACI
2019-06-20,BTC,0.025,0.026093750000000002,HS+ACI
2019-06-22,BTC,0.01,0.010184999999999993,HS+ACI
2019-06-25,BTC,0.025,0.026250000000000002,HS+ACI
2019-06-27,BTC,0.01,0.009709999999999991,HS+ACI
2019-06-30,BTC,0.025,0.02390625,HS+ACI
2019-07-02,BTC,0.01,0.00973499999999999,HS+ACI
2019-07-05,BTC,0.025,0.0240625,HS+ACI
2019-07-07,BTC,0.01,0.00975999999999999,HS+ACI
2019-07-10,BTC,0.025,0.02421875,HS+ACI
2019-07-12,BTC,0.01,0.009784999999999988,HS+ACI
2019-07-15,BTC,0.025,0.023125,HS+ACI
2019-07-17,BTC,0.01,0.009309999999999987,HS+ACI
2019-07-20,BTC,0.025,0.02203125,HS+ACI
2019-07-22,BTC,0.01,0.009334999999999986,HS+ACI
2019-07-25,BTC,0.025,0.0221875,HS+ACI
2019-07-27,BTC,0.01,0.009359999999999985,HS+ACI
2019-07-30,BTC,0.025,0.02234375,HS+ACI
2019-08-01,BTC,0.01,0.009384999999999984,HS+ACI
2019-08-04,BTC,0.025,0.0225,HS+ACI
2019-08-06,BTC,0.01,0.009409999999999983,HS+ACI
2019-08-09,BTC,0.025,0.02265625,HS+ACI
2019-08-11,BTC,0.01,0.009434999999999982,HS+ACI
2019-08-14,BTC,0.025,0.0228125,HS+ACI
2019-08-16,BTC,0.01,0.00945999999999998,HS+ACI
2019-08-19,BTC,0.025,0.02296875,HS+ACI
2019-08-21,BTC,0.01,0.00948499999999998,HS+ACI
2019-08-24,BTC,0.025,0.023125,HS+ACI
2019-08-26,BTC,0.01,0.009509999999999979,HS+ACI
2019-08-29,BTC,0.025,0.02328125,HS+ACI
2019-08-31,BTC,0.01,0.009534999999999978,HS+ACI
2019-09-03,BTC,0.025,0.0234375,HS+ACI
2019-09-05,BTC,0.01,0.009559999999999977,HS+ACI
2019-09-08,BTC,0.025,0.02359375,HS+ACI
2019-09-10,BTC,0.01,0.009584999999999975,HS+ACI
2019-09-13,BTC,0.025,0.02375,HS+ACI
2019-09-15,BTC,0.01,0.009609999999999974,HS+ACI
2019-09-18,BTC,0.025,0.02390625,HS+ACI
2019-09-20,BTC,0.01,0.009634999999999973,HS+ACI
2019-09-23,BTC,0.025,0.0240625,HS+ACI
2019-09-25,BTC,0.01,0.009159999999999972,HS+ACI
2019-09-28,BTC,0.025,0.02296875,HS+ACI
2019-09-30,BTC,0.01,0.009184999999999971,HS+ACI
2019-10-03,BTC,0.025,0.023125,HS+ACI
2019-10-05,BTC,0.01,0.00920999999999997,HS+ACI
2019-10-08,BTC,0.025,0.02328125,HS+ACI
2019-10-10,BTC,0.01,0.009234999999999969,HS+ACI
2019-10-13,BTC,0.025,0.0234375,HS+ACI
2019-10-15,BTC,0.01,0.009259999999999968,HS+ACI
2019-10-18,BTC,0.025,0.02359375,HS+ACI
2019-10-20,BTC,0.01,0.009284999999999967,HS+ACI
2019-10-23,BTC,0.025,0.02375,HS+ACI
2019-10-25,BTC,0.01,0.009309999999999966,HS+ACI
2019-10-28,BTC,0.025,0.02390625,HS+ACI
2019-10-30,BTC,0.01,0.009334999999999965,HS+ACI
2019-11-02,BTC,0.025,0.0240625,HS+ACI
2019-11-04,BTC,0.01,0.009359999999999964,HS+ACI
2019-11-07,BTC,0.025,0.02421875,HS+ACI
2019-11-09,BTC,0.01,0.009384999999999963,HS+ACI
2019-11-12,BTC,0.025,0.024375,HS+ACI
2019-11-14,BTC,0.01,0.009409999999999962,HS+ACI
2019-11-17,BTC,0.025,0.02453125,HS+ACI
2019-11-19,BTC,0.01,0.00943499999999996,HS+ACI
2019-11-22,BTC,0.025,0.0246875,HS+ACI
2019-11-24,BTC,0.01,0.00945999999999996,HS+ACI
2019-11-27,BTC,0.025,0.02484375,HS+ACI
2019-11-29,BTC,0.01,0.009484999999999959,HS+ACI
2019-12-02,BTC,0.025,0.025,HS+ACI
2019-12-04,BTC,0.01,0.009509999999999958,HS+ACI
2019-12-07,BTC,0.025,0.02515625,HS+ACI
2019-12-09,BTC,0.01,0.009534999999999957,HS+ACI
2019-12-12,BTC,0.025,0.0253125,HS+ACI
2019-12-14,BTC,0.01,0.009559999999999956,HS+ACI
2019-12-17,BTC,0.025,0.025468750000000002,HS+ACI
2019-12-19,BTC,0.01,0.009584999999999955,HS+ACI
2019-12-22,BTC,0.025,0.025625000000000002,HS+ACI
2019-12-24,BTC,0.01,0.009609999999999954,HS+ACI
2019-12-27,BTC,0.025,0.025781250000000002,HS+ACI
2019-12-29,BTC,0.01,0.009634999999999953,HS+ACI
2020-01-01,BTC,0.025,0.025937500000000002,HS+ACI
2020-01-03,BTC,0.01,0.009659999999999952,HS+ACI
2020-01-06,BTC,0.025,0.026093750000000002,HS+ACI
2020-01-08,BTC,0.01,0.00968499999999995,HS+ACI
2020-01-11,BTC,0.025,0.026250000000000002,HS+ACI
2020-01-13,BTC,0.01,0.00970999999999995,HS+ACI
2020-01-16,BTC,0.025,0.026406250000000003,HS+ACI
2020-01-18,BTC,0.01,0.009734999999999949,HS+ACI
2020-01-21,BTC,0.025,0.026562500000000003,HS+ACI
2020-01-23,BTC,0.01,0.009759999999999948,HS+ACI
2020-01-26,BTC,0.025,0.026718750000000003,HS+ACI
2020-01-28,BTC,0.01,0.009784999999999947,HS+ACI
