asset,model,in_mcs,es_975_1d,es_10d_sqrt,exceptions_250d,m_c,capital_usd,es_10d_bootstrap,model_risk_addon_usd
BTC,AWHS,True,-0.0908492728881405,-0.2872906260967075,3,1.5,430935.9391450613,-0.29036086910768455,227982.36994213762
BTC,CAViaR-AS,True,-0.08916430766000523,-0.28196229819761487,5,1.9,535728.3665754682,-0.29036086910768455,227982.36994213762
BTC,CAViaR-SAV,True,-0.09004961769647805,-0.2847618943482757,5,1.9,541047.5992617238,-0.29036086910768455,227982.36994213762
BTC,CAViaR-X-AS,True,-0.08880928052909398,-0.28083960383278056,4,1.5,421259.40574917087,-0.29036086910768455,227982.36994213762
BTC,EGARCH-t,True,-0.10945895109963595,-0.34613959576784187,2,1.5,519209.3936517628,-0.29036086910768455,227982.36994213762
BTC,EWMA,True,-0.0701741789787734,-0.22191023850523264,5,1.9,421629.453159942,-0.29036086910768455,227982.36994213762
BTC,FHS,True,-0.09114910719301286,-0.28823878542075754,4,1.5,432358.1781311363,-0.29036086910768455,227982.36994213762
BTC,GARCH-EVT,True,-0.0965342143444902,-0.30526798946348727,5,1.9,580009.1799806257,-0.29036086910768455,227982.36994213762
BTC,GARCH-X,True,-0.11587760309453339,-0.36643715557970125,2,1.5,549655.7333695518,-0.29036086910768455,227982.36994213762
BTC,GARCH-t,True,-0.09692408614552234,-0.30650087235022083,4,1.5,459751.30852533126,-0.29036086910768455,227982.36994213762
BTC,GJR-GARCH-t,True,-0.09675048299670724,-0.30595189099098796,2,1.5,458927.83648648195,-0.29036086910768455,227982.36994213762
BTC,HAR-RV,True,-0.07421376781100325,-0.23468454002565875,4,1.5,352026.8100384881,-0.29036086910768455,227982.36994213762
BTC,HARQ,True,-0.07158605350270417,-0.22637497777121976,5,1.9,430112.4577653175,-0.29036086910768455,227982.36994213762
BTC,HS,True,-0.09395217293467606,-0.29710285759560234,3,1.5,445654.28639340354,-0.29036086910768455,227982.36994213762
BTC,Jump-Diffusion,True,-0.09258787921771355,-0.29278858205254377,3,1.5,439182.87307881564,-0.29036086910768455,227982.36994213762
BTC,LSTM-Vol,True,-0.09327350944548982,-0.2949567352049768,3,1.5,442435.1028074652,-0.29036086910768455,227982.36994213762
BTC,MS-GARCH,True,-0.08697714799008983,-0.27504589203422014,4,1.5,412568.83805133024,-0.29036086910768455,227982.36994213762
BTC,RF-QR,True,-0.08694833506726615,-0.27495477757205067,5,1.9,522414.07738689624,-0.29036086910768455,227982.36994213762
BTC,Realized-GARCH,True,-0.09338718123189392,-0.2953161969557139,2,1.5,442974.29543357086,-0.29036086910768455,227982.36994213762
BTC,Realized-SV,True,-0.0930329661971993,-0.29419607066460335,3,1.5,441294.105996905,-0.29036086910768455,227982.36994213762
ETH,AWHS,True,-0.12269097831647831,-0.3879829398344024,3,1.5,581974.4097516036,-0.3854573842269856,185295.181986443
ETH,CAViaR-AS,True,-0.11832490920074255,-0.37417621700696013,3,1.5,561264.3255104402,-0.3854573842269856,185295.181986443
ETH,CAViaR-SAV,True,-0.12224441036957975,-0.3865707679921779,4,1.5,579856.1519882669,-0.3854573842269856,185295.181986443
ETH,CAViaR-X-AS,True,-0.11818499207150976,-0.3737337601949124,3,1.5,560600.6402923686,-0.3854573842269856,185295.181986443
ETH,EGARCH-t,True,-0.13103774440459529,-0.41437773176950576,2,1.5,621566.5976542586,-0.3854573842269856,185295.181986443
ETH,EWMA,True,-0.09235154934412085,-0.29204124137285115,5,1.9,554878.3586084172,-0.3854573842269856,185295.181986443
ETH,FHS,True,-0.12036014625627428,-0.380612201680815,3,1.5,570918.3025212225,-0.3854573842269856,185295.181986443
ETH,GARCH-EVT,True,-0.12119729165373558,-0.38325948786951963,2,1.5,574889.2318042795,-0.3854573842269856,185295.181986443
ETH,GARCH-X,True,-0.13031958448057898,-0.41210671068536076,0,1.5,618160.0660280412,-0.3854573842269856,185295.181986443
ETH,GARCH-t,True,-0.12418390032575484,-0.39270397375271127,2,1.5,589055.9606290669,-0.3854573842269856,185295.181986443
ETH,GJR-GARCH-t,True,-0.1246107187484606,-0.394053692115782,1,1.5,591080.538173673,-0.3854573842269856,185295.181986443
ETH,HAR-RV,True,-0.09442386224801289,-0.29859447017370755,5,1.9,567329.4933300443,-0.3854573842269856,185295.181986443
ETH,HARQ,True,-0.09197409010242441,-0.2908476104452104,4,1.5,436271.4156678156,-0.3854573842269856,185295.181986443
ETH,HS,False,-0.127066484408775,-0.40181950500200286,2,1.5,602729.2575030043,-0.3854573842269856,185295.181986443
ETH,Jump-Diffusion,False,-0.12649667583675756,-0.40001761208413966,3,1.5,600026.4181262095,-0.3854573842269856,185295.181986443
ETH,LSTM-Vol,True,-0.11364458301334639,-0.3593757260622562,3,1.5,539063.5890933843,-0.3854573842269856,185295.181986443
ETH,MS-GARCH,True,-0.112558183156907,-0.35594022806622777,2,1.5,533910.3420993417,-0.3854573842269856,185295.181986443
ETH,RF-QR,True,-0.11745265763457037,-0.37141791536520696,1,1.5,557126.8730478104,-0.3854573842269856,185295.181986443
ETH,Realized-GARCH,True,-0.11963080913677832,-0.37830583520110134,1,1.5,567458.752801652,-0.3854573842269856,185295.181986443
ETH,Realized-SV,True,-0.12118607402961151,-0.3832240146273519,2,1.5,574836.0219410278,-0.3854573842269856,185295.181986443
