asset,estimator,alpha,n_draws,var_point,es_point,es_se,es_lo_p5,es_hi_p95,es_prudent_p5,es_widening_frac,capital_point_usd,estimation_risk_addon_usd
BTC,HS,0.025,2000,-0.04024976391402335,-0.05950960629918329,0.009004183033448751,-0.07350707941846918,-0.04470466857898957,-0.07350707941846918,0.01399747311928589,282278.8478479842,66395.84481588774
BTC,GARCH-t,0.025,1585,-0.03764224768268284,-0.053256577690830295,0.004840884053782563,-0.060035931423421715,-0.04509737513856783,-0.060035931423421715,0.00677935373259142,252618.12883310154,32157.298288429447
BTC,FHS,0.025,2109,-0.03473650064036899,-0.048006885298172416,0.006163739799701462,-0.058414980193474464,-0.03807538399212316,-0.058414980193474464,0.010408094895302047,227716.65136901467,49369.928958489356
BTC,RF-QR,0.025,1000,-0.035906444818973426,-0.046213098784699584,0.0013792953294514212,-0.04757500109276217,-0.04349770497682413,-0.04757500109276217,0.0013619023080625875,219207.97484101498,6460.069866177131
BTC,LSTM-Vol,0.025,40,-0.041042955629762706,-0.057492389799662806,0.010809570524561123,-0.07715543302068399,-0.04728075380440731,-0.07715543302068399,0.019663043221021186,272710.34983974916,93270.00346314086
ETH,HS,0.025,2000,-0.06675235625236943,-0.09133577640802158,0.00996890910282643,-0.10528827954718219,-0.07217542221883104,-0.10528827954718219,0.013952503139160605,433243.6279638311,66182.5334705952
ETH,GARCH-t,0.025,1668,-0.054925556950041136,-0.08839461404499573,0.013202476899397983,-0.10165791960537564,-0.060556419801056416,-0.10165791960537564,0.013263305560379912,419292.46991054405,62913.38231036469
ETH,FHS,0.025,2445,-0.0598202911203289,-0.08070282984678773,0.011537846464716978,-0.09607845767739756,-0.05788002560916822,-0.09607845767739756,0.015375627830609834,382807.1339053001,72933.00659970107
ETH,RF-QR,0.025,1000,-0.07503808272120782,-0.0779524018127396,0.0003549610090008498,-0.07848036802001078,-0.07735065720387678,-0.07848036802001078,0.0005279662072711772,369760.70821334334,2504.363613866153
ETH,LSTM-Vol,0.025,40,-0.06530395070902327,-0.09867967522294173,0.01000251839931445,-0.11591817207939796,-0.08229049901315699,-0.11591817207939796,0.01723849685645623,468078.79870526964,81769.37025608163
