date,asset,lag,feature,importance
2019-05-16,BTC,1,return,0.0004274050394694011
2019-05-16,BTC,1,squared return,0.000171661376953125
2019-05-16,BTC,1,squared down-return,0.00015107790629069012
2019-05-16,BTC,2,return,-0.00014646848042805988
2019-05-16,BTC,2,squared return,0.00010744730631510417
2019-05-16,BTC,2,squared down-return,-1.327196756998698e-05
2019-05-16,BTC,3,return,-0.00014551480611165365
2019-05-16,BTC,3,squared return,3.123283386230469e-05
2019-05-16,BTC,3,squared down-return,-1.796086629231771e-05
2019-05-16,BTC,4,return,0.0006983280181884765
2019-05-16,BTC,4,squared return,0.00011157989501953125
2019-05-16,BTC,4,squared down-return,9.743372599283855e-05
2019-05-16,BTC,5,return,0.0014539559682210286
2019-05-16,BTC,5,squared return,0.00027052561442057293
2019-05-16,BTC,5,squared down-return,0.0002600351969401042
2019-05-16,BTC,6,return,0.001744985580444336
2019-05-16,BTC,6,squared return,0.00021600723266601562
2019-05-16,BTC,6,squared down-return,8.249282836914062e-05
2019-05-16,BTC,7,return,0.0003878275553385417
2019-05-16,BTC,7,squared return,0.00016887982686360678
2019-05-16,BTC,7,squared down-return,9.330113728841147e-05
2019-05-16,BTC,8,return,0.00034054120381673175
2019-05-16,BTC,8,squared return,0.0001762708028157552
2019-05-16,BTC,8,squared down-return,0.00010101000467936197
2019-05-16,BTC,9,return,-0.001989285151163737
2019-05-16,BTC,9,squared return,2.5272369384765625e-05
2019-05-16,BTC,9,squared down-return,-1.9311904907226562e-05
2019-05-16,BTC,10,return,0.0007950464884440104
2019-05-16,BTC,10,squared return,6.008148193359374e-05
2019-05-16,BTC,10,squared down-return,0.00011817614237467447
2019-05-16,BTC,11,return,0.0012316703796386719
2019-05-16,BTC,11,squared return,-8.742014567057296e-06
2019-05-16,BTC,11,squared down-return,5.7140986124674484e-05
2019-05-16,BTC,12,return,0.00091552734375
2019-05-16,BTC,12,squared return,0.00011698404947916666
2019-05-16,BTC,12,squared down-return,0.00012683868408203125
2019-05-16,BTC,13,return,-0.003854036331176758
2019-05-16,BTC,13,squared return,4.2915344238281236e-05
2019-05-16,BTC,13,squared down-return,-0.00010911623636881511
2019-05-16,BTC,14,return,0.004202365875244141
2019-05-16,BTC,14,squared return,0.00024445851643880207
2019-05-16,BTC,14,squared down-return,0.0002170403798421224
2019-05-16,BTC,15,return,0.0012957255045572917
2019-05-16,BTC,15,squared return,0.00012993812561035156
2019-05-16,BTC,15,squared down-return,0.00011221567789713541
2019-05-16,BTC,16,return,0.0056358178456624355
2019-05-16,BTC,16,squared return,0.0005431175231933594
2019-05-16,BTC,16,squared down-return,0.0004134972890218099
2019-05-16,BTC,17,return,-0.004609584808349609
2019-05-16,BTC,17,squared return,0.00012453397115071615
2019-05-16,BTC,17,squared down-return,6.175041198730469e-05
2019-05-16,BTC,18,return,0.0049436092376708984
2019-05-16,BTC,18,squared return,-1.6371409098307283e-05
2019-05-16,BTC,18,squared down-return,4.267692565917968e-05
2019-05-16,BTC,19,return,0.00020845731099446586
2019-05-16,BTC,19,squared return,-0.00012890497843424484
2019-05-16,BTC,19,squared down-return,0.0001076062520345052
2019-05-16,BTC,20,return,0.00150609016418457
2019-05-16,BTC,20,squared return,3.210703531901041e-05
2019-05-16,BTC,20,squared down-return,0.00031065940856933594
2019-07-15,BTC,1,return,-0.00017515818277994788
2019-07-15,BTC,1,squared return,0.0002600351969401042
2019-07-15,BTC,1,squared down-return,0.00010371208190917969
2019-07-15,BTC,2,return,0.0015196800231933594
2019-07-15,BTC,2,squared return,0.00011658668518066406
2019-07-15,BTC,2,squared down-return,0.00011491775512695312
2019-07-15,BTC,3,return,0.00017563501993815106
2019-07-15,BTC,3,squared return,0.0001517931620279948
2019-07-15,BTC,3,squared down-return,0.00015226999918619793
2019-07-15,BTC,4,return,0.0017898877461751301
2019-07-15,BTC,4,squared return,0.0001178582509358724
2019-07-15,BTC,4,squared down-return,0.00010887781778971353
2019-07-15,BTC,5,return,0.0011104742685953777
2019-07-15,BTC,5,squared return,0.00021878878275553387
2019-07-15,BTC,5,squared down-return,0.0001819133758544922
2019-07-15,BTC,6,return,0.0011303424835205078
2019-07-15,BTC,6,squared return,0.00027243296305338543
2019-07-15,BTC,6,squared down-return,0.00019749005635579425
2019-07-15,BTC,7,return,0.00012111663818359375
2019-07-15,BTC,7,squared return,0.0001327991485595703
2019-07-15,BTC,7,squared down-return,1.541773478190104e-05
2019-07-15,BTC,8,return,0.004456043243408203
2019-07-15,BTC,8,squared return,0.0003442764282226563
2019-07-15,BTC,8,squared down-return,4.299481709798177e-05
2019-07-15,BTC,9,return,0.0011294682820638022
2019-07-15,BTC,9,squared return,-9.353955586751303e-05
2019-07-15,BTC,9,squared down-return,-7.343292236328125e-05
2019-07-15,BTC,10,return,0.0009338855743408203
2019-07-15,BTC,10,squared return,-0.00010609626770019531
2019-07-15,BTC,10,squared down-return,2.574920654296875e-05
2019-07-15,BTC,11,return,0.0011916955312093098
2019-07-15,BTC,11,squared return,1.8755594889322918e-05
2019-07-15,BTC,11,squared down-return,-1.6689300537109375e-05
2019-07-15,BTC,12,return,6.11146291097005e-05
2019-07-15,BTC,12,squared return,-0.00016212463378906253
2019-07-15,BTC,12,squared down-return,-1.9232432047526043e-05
2019-07-15,BTC,13,return,0.0035800933837890625
2019-07-15,BTC,13,squared return,8.718172709147136e-05
2019-07-15,BTC,13,squared down-return,-2.813339233398437e-05
2019-07-15,BTC,14,return,-0.0020799636840820312
2019-07-15,BTC,14,squared return,-0.00011857350667317708
2019-07-15,BTC,14,squared down-return,0.0001773834228515625
2019-07-15,BTC,15,return,0.001232306162516276
2019-07-15,BTC,15,squared return,-3.743171691894531e-05
2019-07-15,BTC,15,squared down-return,3.5365422566731766e-05
2019-07-15,BTC,16,return,-0.000583966573079427
2019-07-15,BTC,16,squared return,-4.124641418457031e-05
2019-07-15,BTC,16,squared down-return,2.2331873575846352e-05
2019-07-15,BTC,17,return,9.942054748535154e-05
2019-07-15,BTC,17,squared return,1.1046727498372398e-05
2019-07-15,BTC,17,squared down-return,7.565816243489584e-05
2019-07-15,BTC,18,return,-0.0005747477213541667
2019-07-15,BTC,18,squared return,-0.00017031033833821613
2019-07-15,BTC,18,squared down-return,0.0001300175984700521
2019-07-15,BTC,19,return,0.00045259793599446613
2019-07-15,BTC,19,squared return,-0.000200351079305013
2019-07-15,BTC,19,squared down-return,1.509984334309896e-05
2019-07-15,BTC,20,return,-0.00017285346984863287
2019-07-15,BTC,20,squared return,-3.870328267415365e-05
2019-07-15,BTC,20,squared down-return,-9.059906005859375e-06
2019-09-13,BTC,1,return,0.0001601378122965495
2019-09-13,BTC,1,squared return,7.065137227376302e-05
2019-09-13,BTC,1,squared down-return,3.568331400553386e-05
2019-09-13,BTC,2,return,0.00019971529642740885
2019-09-13,BTC,2,squared return,0.00011809666951497397
2019-09-13,BTC,2,squared down-return,5.968411763509115e-05
2019-09-13,BTC,3,return,8.591016133626303e-05
2019-09-13,BTC,3,squared return,3.258387247721354e-05
2019-09-13,BTC,3,squared down-return,3.536542256673177e-05
2019-09-13,BTC,4,return,-0.0003568331400553385
2019-09-13,BTC,4,squared return,5.9604644775390625e-05
2019-09-13,BTC,4,squared down-return,2.8928120930989586e-05
2019-09-13,BTC,5,return,-2.7577082316080734e-05
2019-09-13,BTC,5,squared return,8.789698282877605e-05
2019-09-13,BTC,5,squared down-return,2.9802322387695312e-05
2019-09-13,BTC,6,return,8.455912272135416e-05
2019-09-13,BTC,6,squared return,8.312861124674478e-05
2019-09-13,BTC,6,squared down-return,5.205472310384115e-05
2019-09-13,BTC,7,return,-0.00019542376200358075
